Status,ILI,WN30,WN31,Synset
deprecated,ili:i115,00023074-r,none,that_much
deprecated,ili:i167,00032598-r,none,good_and
deprecated,ili:i425,00073763-r,none,scantily/barely
deprecated,ili:i1111,00166512-r,none,in_practice
deprecated,ili:i1639,00240265-r,none,in_unison
deprecated,ili:i1640,00240343-r,none,in_unison/in_chorus
deprecated,ili:i3190,00463080-r,none,sparely
deprecated,ili:i3232,00468326-r,none,thereunder/under_that/under_it
deprecated,ili:i3737,00024417-a,none,accustomed
deprecated,ili:i3741,00025138-s,none,unused
deprecated,ili:i4048,00080861-s,none,shitless
deprecated,ili:i4146,00099590-s,none,in_play
deprecated,ili:i4974,00243039-s,none,negroid
deprecated,ili:i4977,00243515-s,none,light-skinned
deprecated,ili:i7775,00750843-s,none,simplified
deprecated,ili:i8293,00850648-s,none,neat/refined/tasteful
deprecated,ili:i8783,00942806-s,none,employed
deprecated,ili:i8934,00970803-s,none,common_or_garden
deprecated,ili:i9808,01128719-s,none,poor
deprecated,ili:i9814,01129644-s,none,unfavorable/unfavourable
deprecated,ili:i10628,01285850-s,none,important-looking
deprecated,ili:i12529,01628200-s,none,odoriferous
deprecated,ili:i13656,01827261-s,none,regent
deprecated,ili:i15073,02089811-s,none,lying_in_wait
deprecated,ili:i15929,02226661-s,none,arch
deprecated,ili:i17142,02440996-s,none,inferior
deprecated,ili:i17590,02518926-s,none,unseeyn
deprecated,ili:i17863,02566644-s,302532138-s/301342529-s,unintentional/unwilled
deprecated,ili:i18063,02599509-a,none,Aboriginal
deprecated,ili:i21065,03045457-a,none,audio-lingual
deprecated,ili:i21453,03108077-a,none,quadratic
deprecated,ili:i23440,00341285-v,none,operate
deprecated,ili:i25994,00874867-v,none,reacquaint
deprecated,ili:i27411,01157421-v,none,hit
deprecated,ili:i34658,02594674-v,none,meet/match/cope_with
deprecated,ili:i40396,00949619-n,100951435-n/100951878-n,technology/engineering
deprecated,ili:i40620,00996673-n,none,jihad/jehad/international_jihad
deprecated,ili:i42012,01260731-n,none,sin/hell
deprecated,ili:i50032,02713769-n,102716628-n/102716929-n,annulet
deprecated,ili:i50034,02713992-n,102716929-n/102716785-n,annulet/roundel
deprecated,ili:i51861,03019434-n,none,chino
deprecated,ili:i51874,03021531-n,none,chlorambucil/Leukeran
