i1	00001740-a
i2	00002098-a
i3	00002312-a
i4	00002527-a
i5	00002730-a
i6	00002843-a
i7	00002956-a
i8	00003131-a
i9	00003356-a
i10	00003552-s
i11	00003699-s
i12	00003828-s
i13	00003938-a
i14	00004170-s
i15	00004295-s
i16	00004412-a
i17	00004614-s
i18	00004722-s
i19	00004816-s
i20	00004979-a
i21	00005106-s
i22	00005204-a
i23	00005472-s
i24	00005598-s
i25	00005717-s
i26	00005838-s
i27	00006050-a
i28	00006263-s
i29	00006354-a
i30	00006795-s
i31	00006903-s
i32	00007115-s
i33	00007227-s
i34	00007350-s
i35	00007535-s
i36	00007716-s
i37	00007832-a
i38	00008009-s
i39	00008225-a
i40	00008462-s
i41	00008614-a
i42	00008753-a
i43	00008896-a
i44	00009065-a
i45	00009365-s
i46	00009637-s
i47	00009997-a
i48	00010404-s
i49	00010556-s
i50	00010745-s
i51	00011179-s
i52	00011346-s
i53	00011684-s
i54	00011776-a
i55	00012090-s
i56	00012381-s
i57	00012708-s
i58	00012951-s
i59	00013179-a
i60	00013461-s
i61	00013681-s
i62	00013906-a
i63	00014377-s
i64	00014509-s
i65	00014877-s
i66	00015134-s
i67	00015284-s
i68	00015517-s
i69	00015626-s
i70	00015758-s
i71	00015892-s
i72	00016043-s
i73	00016173-s
i74	00016285-s
i75	00016388-s
i76	00016570-s
i77	00016685-s
i78	00016794-a
i79	00017062-s
i80	00017224-s
i81	00017390-a
i82	00017547-s
i83	00017726-a
i84	00017820-a
i85	00018107-s
i86	00018260-s
i87	00018473-s
i88	00018622-a
i89	00018888-s
i90	00019169-a
i91	00019387-s
i92	00019543-s
i93	00019769-s
i94	00019912-a
i95	00020141-s
i96	00020278-s
i97	00020447-s
i98	00020684-s
i99	00020824-a
i100	00021147-s
i101	00021440-a
i102	00021629-s
i103	00021803-a
i104	00022256-s
i105	00022474-s
i106	00022717-s
i107	00022889-s
i108	00022999-s
i109	00023157-s
i110	00023315-s
i111	00023420-a
i112	00023695-s
i113	00023894-s
i114	00024180-s
i115	00024282-s
i117	00024701-s
i118	00493366-s
i119	00025079-s
i121	00025351-a
i122	00025583-s
i123	00025746-s
i124	00025841-a
i125	00026164-s
i126	00026281-s
i127	00026407-s
i128	00026501-s
i129	00026628-a
i130	00026819-a
i131	00027008-s
i132	00027187-a
i133	00027360-a
i134	00027712-s
i135	00027946-s
i136	00028121-s
i137	00028294-s
i138	00028393-s
i139	00028584-s
i140	00028785-a
i141	00028980-s
i142	00029097-s
i143	00029221-s
i144	00029329-s
i145	00029456-a
i146	00029882-s
i147	00030046-s
i148	00030621-s
i149	00030814-s
i150	00030911-s
i151	00031251-s
i152	00031497-s
i153	00031646-a
i154	00031787-a
i155	00031937-a
i156	00032087-a
i157	00032471-s
i158	00032610-s
i159	00032846-s
i160	00033190-s
i161	00033319-s
i162	00033472-s
i163	00033588-s
i164	00033687-a
i165	00033999-s
i166	00034145-s
i167	00034345-s
i168	00034435-s
i169	00034685-s
i170	00034823-a
i171	00035037-s
i172	00035187-a
i173	00035367-s
i174	00035481-s
i175	00035578-a
i176	00035892-s
i177	00035981-s
i178	00036091-s
i179	00036276-s
i180	00036367-s
i181	00036459-s
i182	00036594-a
i183	00036876-s
i184	00036992-s
i185	00037111-s
i186	00037301-s
i187	00037454-s
i188	00037570-a
i189	00037766-s
i190	00037870-a
i191	00038098-s
i192	00038232-s
i193	00038373-s
i194	00038575-s
i195	00038736-s
i196	00038863-a
i197	00039235-s
i198	00039372-s
i199	00039507-s
i200	00039705-a
i201	00040060-s
i202	00040189-s
i203	00040548-a
i204	00040757-s
i205	00040908-a
i206	00041131-s
i207	00041273-a
i208	00041424-s
i209	00041583-a
i210	00041710-s
i211	00041840-a
i212	00042063-a
i213	00042258-a
i214	00042449-a
i215	00042677-a
i216	00035037-s
i217	00043057-s
i218	00043202-s
i219	00043345-a
i220	00043450-s
i221	00043630-a
i222	00043834-a
i223	00043985-a
i224	00044352-s
i225	00044573-a
i226	00044828-s
i227	00044980-a
i228	00045207-s
i229	00045343-a
i230	00045576-s
i231	00045781-a
i232	00045955-s
i233	00046108-s
i234	00046234-a
i235	00046329-a
i236	00046559-s
i237	00046691-s
i238	00046778-s
i239	00046893-a
i240	00047012-s
i241	00047175-s
i242	00047249-a
i243	00047463-s
i244	00047626-s
i245	00047786-a
i246	00047873-s
i247	00048006-a
i248	00048174-a
i249	00048349-a
i250	00048680-s
i251	00048926-s
i252	00049078-s
i253	00049236-s
i254	00049486-s
i255	00049689-s
i256	00049903-s
i257	00050099-s
i258	00050303-a
i259	00050480-s
i260	00050666-s
i261	00050861-a
i262	00051019-s
i263	00051167-a
i264	00051265-a
i265	00051593-s
i266	00051791-s
i267	00051936-a
i268	00052252-s
i269	00052486-s
i270	00052671-s
i271	00052912-a
i272	00053272-s
i273	00053394-s
i274	00053488-s
i275	00053624-s
i276	00053804-s
i277	00053931-s
i278	00054349-s
i279	00054441-s
i280	00054518-s
i281	00054604-s
i282	00054781-s
i283	00054907-s
i284	00055044-s
i285	00055148-a
i286	00055281-s
i287	00055382-s
i288	00055496-s
i289	00055580-a
i290	00055779-a
i291	00056005-a
i292	00056146-a
i293	00056242-a
i294	00056900-s
i295	00057089-s
i296	00057183-s
i297	00057389-s
i298	00057630-s
i299	00057730-s
i300	00057806-s
i301	00057977-s
i302	00058121-s
i303	00058232-s
i304	00058520-s
i305	00058619-s
i306	00058794-s
i307	00058955-s
i308	00059081-s
i309	00059188-s
i310	00059287-s
i311	00059390-s
i312	00059460-s
i313	00059585-s
i314	00059750-s
i315	00059928-s
i316	00060041-s
i317	00060224-s
i318	00060312-s
i319	00060410-s
i320	00060553-s
i321	00060656-a
i322	00060864-s
i323	00061134-s
i324	00061228-a
i325	00061347-a
i326	00061521-a
i327	00061923-s
i328	00062144-s
i329	00062411-s
i330	00062626-s
i331	00062885-s
i332	00062999-s
i333	00063346-s
i334	00063536-a
i335	00063822-s
i336	00064212-s
i337	00064435-s
i338	00064624-s
i339	00064738-a
i340	00065107-s
i341	00065384-s
i342	00065504-s
i343	00065808-a
i344	00066276-s
i345	00066400-a
i346	00066755-s
i347	00067174-s
i348	00067312-s
i349	00067409-a
i350	00067542-s
i351	00067647-a
i352	00067988-s
i353	00068247-s
i354	00068376-a
i355	00068575-a
i356	00068789-s
i357	00068887-a
i358	00069175-a
i359	00069347-s
i360	00069492-s
i361	00069669-a
i362	00069826-a
i363	00070036-a
i364	00070140-a
i365	00070557-s
i366	00070720-s
i367	00070897-s
i368	00071036-s
i369	00071192-a
i370	00071448-s
i371	00071547-a
i372	00071750-s
i373	00071850-s
i374	00072035-s
i375	00072167-s
i376	00072347-s
i377	00072505-s
i378	00072600-a
i379	00072889-s
i380	00073044-s
i381	00073281-s
i382	00073398-s
i383	00073656-a
i384	00073966-s
i385	00074073-s
i386	00074369-s
i387	00074543-s
i388	00074702-s
i389	00074824-s
i390	00074954-a
i391	00075202-s
i392	00075349-s
i393	00075475-s
i394	00075627-s
i395	00075743-a
i396	00075997-s
i397	00076123-a
i398	00076345-s
i399	00076560-a
i400	00076735-s
i401	00076949-a
i402	00077188-s
i403	00077347-s
i404	00077529-a
i405	00077667-s
i406	00077804-s
i407	00077962-s
i408	00078057-a
