00001740-r	a_cappella%4:02:00::
00001837-r	AD%4:02:00::
00001837-r	A.D.%4:02:00::
00001837-r	anno_Domini%4:02:00::
00001981-r	CE%4:02:00::
00001981-r	C.E.%4:02:00::
00001981-r	Common_Era%4:02:00::
00002142-r	BC%4:02:00::
00002142-r	B.C.%4:02:00::
00002142-r	before_Christ%4:02:00::
00002296-r	BCE%4:02:00::
00002296-r	B.C.E.%4:02:00::
00002436-r	horseback%4:02:00::
00002436-r	ahorse%4:02:00::
00002436-r	ahorseback%4:02:00::
00002621-r	barely%4:02:00::
00002621-r	hardly%4:02:00::
00002621-r	just%4:02:04::
00002621-r	scarcely%4:02:00::
00002621-r	scarce%4:02:00::
00002950-r	just%4:02:06::
00003093-r	hardly%4:02:02::
00003093-r	scarcely%4:02:02::
00003294-r	anisotropically%4:02:00::
00003380-r	annoyingly%4:02:00::
00003483-r	basically%4:02:00::
00003483-r	fundamentally%4:02:00::
00003483-r	essentially%4:02:01::
00003771-r	blessedly%4:02:00::
00003846-r	boiling%4:02:00::
00003925-r	enviably%4:02:00::
00004038-r	pointedly%4:02:00::
00004184-r	negatively%4:02:00::
00004288-r	negatively%4:02:01::
00004394-r	kindly%4:02:00::
00004567-r	unkindly%4:02:00::
00004722-r	merely%4:02:00::
00004722-r	simply%4:02:00::
00004722-r	just%4:02:00::
00004722-r	only%4:02:02::
00004722-r	but%4:02:01::
00004967-r	simply%4:02:02::
00005055-r	plainly%4:02:01::
00005055-r	simply%4:02:01::
00005210-r	anciently%4:02:00::
00005343-r	arguably%4:02:00::
00005453-r	unabashedly%4:02:00::
00005567-r	automatically%4:02:00::
00005674-r	alarmingly%4:02:00::
00005779-r	vastly%4:02:00::
00005779-r	immensely%4:02:01::
00006034-r	grossly%4:02:00::
00006105-r	largely%4:02:00::
00006105-r	mostly%4:02:00::
00006105-r	for_the_most_part%4:02:00::
00006259-r	significantly%4:02:03::
00006423-r	insignificantly%4:02:00::
00006610-r	appreciably%4:02:01::
00006729-r	ultrasonically%4:02:00::
00006858-r	smartly%4:02:00::
00006858-r	modishly%4:02:00::
00006858-r	sprucely%4:02:00::
00007015-r	approximately%4:02:00::
00007015-r	about%4:02:00::
00007015-r	close_to%4:02:00::
00007015-r	just_about%4:02:00::
00007015-r	some%4:02:00::
00007015-r	roughly%4:02:00::
00007015-r	more_or_less%4:02:00::
00007015-r	around%4:02:03::
00007015-r	or_so%4:02:00::
00007488-r	absolutely%4:02:01::
00007703-r	partially%4:02:00::
00007703-r	partly%4:02:00::
00007703-r	part%4:02:00::
00007884-r	half%4:02:00::
00008007-r	wholly%4:02:00::
00008007-r	entirely%4:02:00::
00008007-r	completely%4:02:04::
00008007-r	totally%4:02:00::
00008007-r	all%4:02:00::
00008007-r	altogether%4:02:04::
